Unnamed: 0,Case,Year,Court,Jurisdiction,Category,Medium,Outcome,Computer Program,Education/Scholarship/Research,Eleventh Circuit,"Eleventh Circuit, Internet/Digitization, Textual work","Federal Circuit, Sculpture, Photograph",Film/Audiovisual,"Film/Audiovisual, Format shifting/Space shifting, Internet/Digitization","Film/Audiovisual, Internet/Digitization, Review/Commentary","Film/Audiovisual, Music","Film/Audiovisual, Parody/Satire","Film/audiovisual, Used in government proceeding",Films/Audiovisual,First Circuit,Format shifting/Space shifting,Format shifting/space shifting,Fourth Circuit,"Fourth Circuit, Photograph, Internet/Digitization",Internet,Internet/Digitization,"Internet/Digitization, Film/Audiovisual",Music,News Reporting,News Reporting Photograph;,News reporting,Ninth Circuit,"Ninth Circuit, Photograph, Review/Commentary",Other visual arts,Painting/Drawing/Graphic,Parody/Satire,Photograph,"Photograph, Review/Commentary",Review/Commentary,"Review/Commentary, Internet/Digitization",Sculpture,Second Circuit,"Second Circuit, Internet/Digitization, Music","Second Circuit, Internet/Digitization, News reporting, Photograph","Second Circuit, Photograph, Review/Commentary, Internet/Digitization, News reporting",Seventh Circuit,Textual Work,Unpublished,Used in government proceeding
0,"Andy Warhol Found. for the Visual Arts, Inc. v. Goldsmith 143 S. Ct. 1258 (2023)",2023,U.S. Supreme Court,U.S. Supreme Court,Painting/Drawing/Graphic; Photograph,Visual,Fair use not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"Viacom Int’l v. Pixi Universal, Civ. Action No H-21-2612 (S.D. Tex. Mar. 25, 2022)",2022,S.D. Tex.,Fifth Circuit,Painting/Drawing/Graphic; Parody/Satire,Visual,Fair use not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Nat'l Acad. of TV Arts & Scis., Inc., v. Multimedia Sys. Design, Inc. No. 20-CV-7269 (VEC) (S.D.N.Y. July 30, 2021)",2021,S.D.N.Y.,Second Circuit,Film/Audiovisual; Internet/Digitization; Parody/Satire; Photograph; Sculpture,Visual,Fair use not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
6,"McGucken v. Pub Ocean Ltd., 2:20-cv-01923-RGK-AS (C.D. Cal. July 27, 2021)",2021,C.D. Cal.,Ninth Circuit,Internet/Digitization; News Reporting; Photograph,Visual,Fair use found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,"Mattel, Inc. v. Entities Doing Bus. as Unicorn Element, 21 Civ. 2333 (VM) (S.D.N.Y. June 4, 2021)",2021,S.D.N.Y.,Second Circuit,Internet/Digitization; Painting/Drawing/Graphic,Visual,Fair use not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Dr. Seuss Enters., L.P. v. ComicMix LLC, 983 F.3d 443 (9th Cir. 2020)",2020,9th Cir.,Ninth Circuit,Painting/Drawing/Graphic; Parody/Satire; Textual work,Visual,Fair use not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,"Bain v. Film Indep., Inc. No. CV 18-4126 PA (JEMx) (C.D. Cal. Aug. 6, 2020)",2020,C.D. Cal.,Ninth Circuit,Film/Audiovisual,Visual,Fair use found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Noland v. Janssen, No. 17-CV-5452 (S.D.N.Y. June 1, 2020)",2020,S.D.N.Y.,Second Circuit,Photograph; Sculpture,Visual,Fair use found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11,"Solid Oak Sketches, LLC v. 2K Games, Inc., No. 16-cv-724-LTS-SDA (S.D.N.Y. Mar. 26, 2020)",2020,S.D.N.Y.,Second Circuit,Computer program; Film/Audiovisual; Painting/Drawing/Graphic,Visual,Fair use found,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"VHT, Inc. v. Zillow Group, Nos. 17-35587, 17-35588 (9th Cir. Mar. 15, 2019)",2019,9th Cir.,Ninth Circuit,Ninth Circuit; Photograph,Visual,Fair use not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
